解決方案 1:
總耗時: 1020.00
任務ID	開始時間	結束時間
0	0.00	0.00
1	0.00	80.00
2	200.00	240.00
3	200.00	240.00
4	200.00	240.00
5	240.00	280.00
6	80.00	120.00
7	320.00	380.00
8	500.00	530.00
9	500.00	530.00
10	530.00	560.00
11	500.00	530.00
12	610.00	650.00
13	770.00	790.00
14	770.00	790.00
15	790.00	810.00
16	870.00	890.00
17	1010.00	1020.00
18	1010.00	1020.00
19	1020.00	1020.00

解決方案 2:
總耗時: 860.00
任務ID	開始時間	結束時間
0	0.00	0.00
1	0.00	80.00
2	200.00	240.00
3	200.00	240.00
4	240.00	280.00
5	200.00	240.00
6	80.00	120.00
7	240.00	300.00
8	420.00	450.00
9	420.00	450.00
10	320.00	350.00
11	420.00	450.00
12	450.00	490.00
13	610.00	630.00
14	610.00	630.00
15	610.00	630.00
16	710.00	730.00
17	850.00	860.00
18	850.00	860.00
19	860.00	860.00

解決方案 3:
總耗時: 890.00
任務ID	開始時間	結束時間
0	0.00	0.00
1	0.00	80.00
2	200.00	240.00
3	200.00	240.00
4	240.00	280.00
5	80.00	120.00
6	200.00	240.00
7	240.00	300.00
8	420.00	450.00
9	360.00	390.00
10	420.00	450.00
11	420.00	450.00
12	470.00	510.00
13	630.00	650.00
14	630.00	650.00
15	530.00	550.00
16	730.00	750.00
17	880.00	890.00
18	870.00	880.00
19	890.00	890.00

解決方案 4:
總耗時: 1020.00
任務ID	開始時間	結束時間
0	0.00	0.00
1	0.00	80.00
2	200.00	240.00
3	200.00	240.00
4	240.00	280.00
5	200.00	240.00
6	80.00	120.00
7	320.00	380.00
8	500.00	530.00
9	500.00	530.00
10	380.00	410.00
11	530.00	560.00
12	610.00	650.00
13	670.00	690.00
14	770.00	790.00
15	650.00	670.00
16	870.00	890.00
17	1010.00	1020.00
18	1010.00	1020.00
19	1020.00	1020.00

解決方案 5:
總耗時: 1020.00
任務ID	開始時間	結束時間
0	0.00	0.00
1	0.00	80.00
2	200.00	240.00
3	200.00	240.00
4	200.00	240.00
5	80.00	120.00
6	120.00	160.00
7	320.00	380.00
8	380.00	410.00
9	500.00	530.00
10	500.00	530.00
11	530.00	560.00
12	610.00	650.00
13	790.00	810.00
14	770.00	790.00
15	770.00	790.00
16	870.00	890.00
17	1010.00	1020.00
18	1010.00	1020.00
19	1020.00	1020.00

程式執行總耗時: 7.19 秒
